switchID_t, egress_port, qid, enq_qdepth
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 1
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 46
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 56
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
